rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
111,dovecameron,85,170.0,48200000.0,1600000.0,1.75,841400.0,283000000.0,United States
112,garethbale11,86,980.0,48100000.0,763000.0,1.43,681300.0,753100000.0,Unknown
113,jokowi,85,3500.0,47700000.0,452600.0,0.41,189600.0,1600000000.0,Unknown
114,nusr_et,81,2300.0,47300000.0,728200.0,0.29,133000.0,1700000000.0,United Arab Emirates
115,harrystyles,57,590.0,46900000.0,4700000.0,6.38,2900000.0,2800000000.0,United States
116,haileybieber,85,2100.0,46900000.0,2000000.0,3.47,1600000.0,4200000000.0,Unknown
117,vanessahudgens,84,4200.0,46800000.0,633900.0,0.63,292900.0,2700000000.0,United States
118,5-Minute Crafts GIRLY,85,10000.0,46500000.0,157000.0,0.03,12400.0,1600000000.0,United States
119,zayn,82,160.0,46500000.0,4700000.0,8.81,4000000.0,773500000.0,United States
120,larissamanoela,85,5200.0,46500000.0,579600.0,0.57,259400.0,3000000000.0,Brazil
121,travisscott,78,3200.0,46200000.0,3000000.0,5.71,2600000.0,9600000000.0,United States
122,thenotoriousmma,82,3200.0,45900000.0,1100000.0,0.69,311500.0,3500000000.0,United States
123,daddyyankee,80,20.0,45900000.0,652500.0,1.0,455300.0,18300000.0,Puerto Rico
124,natgeotravel,82,16900.0,45800000.0,189900.0,0.12,52800.0,3200000000.0,United States
125,nikefootball,85,1800.0,45400000.0,431200.0,0.44,199800.0,784000000.0,United States
126,stephencurry30,84,1100.0,45400000.0,1100000.0,2.76,1200000.0,1200000000.0,Unknown
127,vancityreynolds,86,680.0,44800000.0,1400000.0,2.61,1200000.0,925700000.0,Unknown
128,maisa,42,1500.0,44500000.0,553000.0,0.67,294100.0,820100000.0,Brazil
129,luissuarez9,85,970.0,44200000.0,801800.0,0.96,414800.0,782500000.0,Unknown
130,gusttavolima,76,4900.0,43900000.0,475100.0,0.71,303900.0,2300000000.0,Brazil
131,jannatzubair29,84,1600.0,43800000.0,1300000.0,2.18,944300.0,2200000000.0,Unknown
132,varundvn,84,1900.0,43800000.0,1100000.0,1.48,640500.0,2000000000.0,India
133,hrithikroshan,85,580.0,43700000.0,1600000.0,3.82,1600000.0,949900000.0,C̫te d'Ivoire
134,nickyjampr,81,10000.0,43400000.0,381600.0,0.33,139300.0,3800000000.0,Colombia
135,buzzfeedtasty,85,8900.0,43200000.0,65100.0,0.02,7700.0,580700000.0,Spain
136,brunamarquezine,84,3000.0,43100000.0,969700.0,1.05,444200.0,2900000000.0,United States
137,caradelevingne,86,4400.0,42900000.0,790200.0,0.43,181000.0,3500000000.0,United States
138,kapilsharma,83,950.0,42200000.0,736400.0,1.49,624500.0,710700000.0,Unknown
139,badbunnypr,83,10.0,42100000.0,3700000.0,13.09,5400000.0,67500000.0,Unknown
140,britneyspears,80,3000.0,42100000.0,513100.0,0.55,221700.0,1600000000.0,Turkey
141,j.m,83,20.0,41900000.0,14200000.0,26.41,11000000.0,368100000.0,Unknown
142,mariliamendoncacantora,73,1400.0,41800000.0,1000000.0,1.98,818600.0,1500000000.0,Brazil
143,norafatehi,83,1700.0,41600000.0,1400000.0,1.76,727500.0,2300000000.0,Anguilla
144,theweeknd,83,670.0,41500000.0,1100000.0,3.97,1600000.0,767000000.0,Unknown
145,dior,85,9700.0,41500000.0,88800.0,0.16,63600.0,863000000.0,Unknown
146,ranveersingh,85,1800.0,40800000.0,1000000.0,0.76,299300.0,1800000000.0,Switzerland
147,marinaruybarbosa,81,2100.0,40700000.0,586400.0,0.01,0.0,1200000000.0,Brazil
148,jenniferaniston,85,90.0,40700000.0,4600000.0,1.88,731000.0,452000000.0,Unknown
149,addisonraee,85,300.0,40100000.0,3100000.0,2.49,994400.0,957900000.0,Unknown
150,andresiniesta8,85,2000.0,40000000.0,250800.0,0.41,161700.0,500500000.0,Spain
151,princessyahrini,81,4500.0,40000000.0,118300.0,0.22,87400.0,529900000.0,Indonesia
152,liverpoolfc,75,10000.0,39900000.0,346700.0,0.42,162900.0,3500000000.0,United Kingdom
153,teddysphotos,80,2300.0,39900000.0,715500.0,0.46,181100.0,1700000000.0,United States
154,worldstar,78,11600.0,39200000.0,157400.0,0.23,84400.0,1800000000.0,United States
155,natashawilona12,84,1200.0,39200000.0,486500.0,0.59,227700.0,563900000.0,Unknown
156,mahi7781,58,100.0,39100000.0,4100000.0,0.17,0.0,439400000.0,Unknown
157,georginagio,74,730.0,39100000.0,2200000.0,8.56,3300000.0,1600000000.0,Unknown
158,cznburak,80,1800.0,39000000.0,815800.0,1.01,383300.0,1400000000.0,Unknown
159,chrissyteigen,79,5100.0,38900000.0,623100.0,0.43,162100.0,3200000000.0,United States
160,ruben_onsu,75,13400.0,38800000.0,139300.0,0.13,49100.0,1900000000.0,Indonesia
161,wizkhalifa,80,500.0,38700000.0,398700.0,0.31,115700.0,199800000.0,United States
162,hm,83,7300.0,38500000.0,88400.0,0.06,22400.0,644100000.0,Sweden
163,anushkasen0408,85,5300.0,38300000.0,695400.0,1.75,658300.0,3700000000.0,Unknown
164,prattprattpratt,84,730.0,38300000.0,813500.0,1.0,363800.0,594700000.0,Unknown
165,marvelstudios,83,2700.0,38100000.0,594200.0,1.58,555900.0,1600000000.0,Unknown
166,wesleysafadao,80,8900.0,37400000.0,256100.0,0.02,0.0,2300000000.0,Unknown
167,parineetichopra,84,1300.0,37400000.0,505700.0,0.68,246900.0,672100000.0,Unknown
168,rkive,83,110.0,37000000.0,10900000.0,0.88,0.0,1200000000.0,Unknown
169,laudyacynthiabella,76,380.0,36900000.0,172800.0,0.12,43400.0,66700000.0,Indonesia
170,antogriezmann,83,870.0,36500000.0,1100000.0,0.57,203600.0,955400000.0,France
171,gisel_la,85,9900.0,36500000.0,150500.0,0.1,33400.0,1500000000.0,Unknown
172,eminem,84,660.0,36400000.0,1100000.0,2.69,962700.0,730100000.0,United States
173,mercedesbenz,77,10000.0,36000000.0,197900.0,0.18,64600.0,2000000000.0,British Virgin Islands
174,colesprouse,81,1200.0,35900000.0,2200000.0,2.34,834500.0,2600000000.0,Unknown
175,nattinatasha,47,30.0,35900000.0,518100.0,0.8,285900.0,18700000.0,Czech Republic
176,shahidkapoor,82,1100.0,35600000.0,1300000.0,2.54,780000.0,1500000000.0,Unknown
177,tigerjackieshroff,83,2100.0,35600000.0,1100000.0,1.2,422900.0,2200000000.0,India
178,kimberly.loaiza,78,590.0,35500000.0,2600000.0,5.23,1800000.0,1600000000.0,Mexico
179,barackobama,81,660.0,35400000.0,1100000.0,1.19,411500.0,739500000.0,United States
180,sachintendulkar,76,1000.0,35300000.0,800400.0,2.03,664500.0,810000000.0,Unknown
181,simonemendes,72,4400.0,35000000.0,420000.0,0.65,222900.0,1900000000.0,Brazil
182,ivetesangalo,84,7600.0,34800000.0,226400.0,0.36,121100.0,1700000000.0,Brazil
183,lunamaya,83,4100.0,34800000.0,145400.0,0.17,58600.0,589600000.0,Unknown
184,toni.kr8s,83,940.0,34700000.0,597200.0,1.68,533500.0,561300000.0,Unknown
185,dannapaola,68,1900.0,34700000.0,1500000.0,3.49,1200000.0,2800000000.0,Mexico
186,paollaoliveirareal,84,4600.0,34700000.0,367800.0,0.57,192300.0,1700000000.0,Unknown
187,blakelively,80,110.0,34600000.0,3100000.0,0.02,0.0,350900000.0,United States
188,adidasoriginals,83,150.0,34200000.0,136200.0,0.2,66800.0,21200000.0,Unknown
189,disney,77,7300.0,34200000.0,185200.0,0.44,132000.0,1400000000.0,United States
190,shaymitchell,83,6300.0,34100000.0,732400.0,0.73,247500.0,4600000000.0,United States
191,bmw,79,9300.0,33700000.0,231300.0,0.23,76500.0,2200000000.0,Germany
192,danbilzerian,84,1400.0,33600000.0,2000000.0,3.58,1200000.0,2800000000.0,Canada
193,khabib_nurmagomedov,63,4500.0,33500000.0,685100.0,0.67,220700.0,3100000000.0,Russia
194,zidane,41,370.0,33500000.0,1100000.0,1.61,532700.0,391900000.0,France
195,sonamkapoor,75,4800.0,33300000.0,264700.0,0.63,209200.0,1300000000.0,India
196,iambeckyg,71,2300.0,33200000.0,623800.0,1.4,464700.0,1400000000.0,United States
197,nancyajram,81,3800.0,33200000.0,390400.0,0.64,208000.0,1500000000.0,France
198,luansantana,79,770.0,33200000.0,193300.0,0.26,82600.0,149200000.0,Brazil
199,nickjonas,78,2300.0,33000000.0,719600.0,1.42,467700.0,1700000000.0,United States
200,raisa6690,80,4200.0,32800000.0,232200.0,0.3,97400.0,969100000.0,Indonesia
