rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
54,tomholland2013,77,1200.0,67700000.0,5400000.0,10.83,7300000.0,6600000000.0,Unknown
55,ronaldinho,78,2900.0,67700000.0,872900.0,0.49,325700.0,2600000000.0,Brazil
56,emmawatson,87,340.0,67300000.0,1900000.0,0.01,0.0,639000000.0,United States
57,bts.bighitofficial,78,1200.0,66900000.0,4100000.0,5.4,3600000.0,4900000000.0,Uruguay
58,katrinakaif,85,1000.0,66300000.0,1700000.0,2.25,1500000.0,1700000000.0,India
59,marvel,82,7000.0,66200000.0,332300.0,0.51,339000.0,2300000000.0,Turkey
60,justintimberlake,87,780.0,65900000.0,600400.0,0.3,189400.0,470700000.0,United States
61,camila_cabello,77,2900.0,65000000.0,1900000.0,2.19,1400000.0,5400000000.0,United States
62,willsmith,82,1400.0,63900000.0,1400000.0,0.02,0.0,1900000000.0,United States
63,raffinagita1717,83,17500.0,63500000.0,386900.0,0.58,366600.0,6800000000.0,Indonesia
64,anitta,82,5100.0,63100000.0,855500.0,0.69,426200.0,4400000000.0,United States
65,sooyaaa__,82,830.0,62900000.0,4500000.0,9.43,5900000.0,3800000000.0,Unknown
66,maluma,84,8200.0,62800000.0,1200000.0,1.12,696300.0,9800000000.0,Colombia
67,akshaykumar,85,1900.0,62800000.0,1500000.0,1.01,624900.0,2900000000.0,Unknown
68,jacquelinef143,85,2400.0,62700000.0,1100000.0,1.15,718800.0,2800000000.0,India
69,psg,86,10000.0,61900000.0,500500.0,0.52,322200.0,5000000000.0,France
70,roses_are_rosie,82,820.0,61800000.0,4600000.0,9.72,6000000.0,3800000000.0,Unknown
71,manchesterunited,85,9900.0,59600000.0,381800.0,0.41,241600.0,3800000000.0,United Kingdom
72,anushkasharma,85,1200.0,59500000.0,1900000.0,2.34,1400000.0,2200000000.0,Unknown
73,whinderssonnunes,79,2700.0,58700000.0,1600000.0,0.58,323100.0,4400000000.0,Brazil
74,9gag,86,10000.0,58100000.0,672600.0,0.44,248600.0,6700000000.0,United States
75,marcelotwelve,86,2700.0,58100000.0,690900.0,0.78,448300.0,1900000000.0,Brazil
76,milliebobbybrown,80,280.0,57600000.0,4000000.0,8.63,5000000.0,1100000000.0,United States
77,karimbenzema,42,2000.0,56900000.0,878500.0,1.62,918900.0,1800000000.0,Spain
78,chrishemsworth,86,880.0,55900000.0,2800000.0,3.69,2100000.0,2500000000.0,Australia
79,karolg,83,3300.0,55600000.0,3100000.0,10.25,5700000.0,10100000000.0,India
80,paulpogba,80,1300.0,55200000.0,1400000.0,0.85,462600.0,1800000000.0,France
81,iamzlatanibrahimovic,86,870.0,55100000.0,1500000.0,1.53,837100.0,1300000000.0,Unknown
82,leonardodicaprio,86,1700.0,54600000.0,395500.0,0.2,107600.0,669300000.0,Unknown
83,juventus,87,10000.0,54500000.0,194800.0,0.25,135500.0,1900000000.0,Unknown
84,zacefron,86,660.0,54500000.0,2300000.0,8.18,4400000.0,1500000000.0,United States
85,bellahadid,79,3200.0,54100000.0,1100000.0,2.06,1100000.0,3600000000.0,United Kingdom
86,tatawerneck,86,5600.0,53900000.0,959800.0,0.51,266500.0,5400000000.0,Brazil
87,beingsalmankhan,76,1200.0,53500000.0,1400000.0,1.33,693900.0,1600000000.0,India
88,robertdowneyjr,86,420.0,53400000.0,3000000.0,2.05,1100000.0,1300000000.0,United States
89,sunnyleone,84,4600.0,53400000.0,764000.0,0.57,301300.0,3500000000.0,Unknown
90,ladygaga,83,3600.0,53200000.0,1400000.0,1.02,531600.0,5100000000.0,United States
91,dishapatani,74,2100.0,53000000.0,1600000.0,1.85,971700.0,3400000000.0,United States
92,sergioramos,87,2200.0,52800000.0,1100000.0,1.06,557900.0,2500000000.0,Unknown
93,jbalvin,87,10000.0,52800000.0,878000.0,0.66,340500.0,8800000000.0,Unknown
94,mosalah,22,840.0,52500000.0,1800000.0,2.18,1100000.0,1500000000.0,Unknown
95,ayutingting92,85,10000.0,52400000.0,147300.0,0.11,56300.0,1500000000.0,Indonesia
96,433,79,10300.0,51200000.0,863200.0,1.52,774200.0,8900000000.0,Netherlands
97,hudabeauty,82,2400.0,50800000.0,186400.0,0.04,16800.0,453600000.0,United States
98,adele,84,420.0,50700000.0,4700000.0,3.82,1900000.0,2000000000.0,United States
99,michelleobama,85,600.0,50700000.0,700500.0,1.22,611200.0,421700000.0,Unknown
100,kritisanon,76,2700.0,50200000.0,897200.0,1.21,604400.0,2400000000.0,India
101,jamesrodriguez10,86,1100.0,49900000.0,1400000.0,0.75,363900.0,1500000000.0,Colombia
102,krisjenner,80,6400.0,49700000.0,356800.0,0.91,452900.0,2300000000.0,United States
103,thv,83,60.0,49300000.0,15400000.0,25.8,12600000.0,987400000.0,Unknown
104,lelepons,81,2500.0,49200000.0,2400000.0,3.55,1700000.0,6100000000.0,United States
105,charlidamelio,80,150.0,49100000.0,4200000.0,3.28,1600000.0,654400000.0,Unknown
106,gucci,86,8900.0,49000000.0,115100.0,0.15,72400.0,1000000000.0,Italy
107,prillylatuconsina96,84,6500.0,48900000.0,372400.0,0.27,131800.0,2400000000.0,Indonesia
108,louisvuitton,82,6500.0,48700000.0,127500.0,0.08,40500.0,824000000.0,France
109,paulodybala,85,1300.0,48300000.0,1800000.0,2.88,1400000.0,2300000000.0,Unknown
110,blackpinkofficial,85,1400.0,48200000.0,2100000.0,2.77,1300000.0,3000000000.0,Unknown
